INCIDENT_ID,SUBSCRIPTION_ID,WORKFLOW_NAME,ERROR_CODE,ERROR_MESSAGE,ERROR_CATEGORY,STATUS,RCA_ROOT_CAUSE,FIX_STRATEGY,CREATED_AT,UPDATED_AT,AUTO_FIX_ATTEMPTED,AUTO_FIX_SUCCESS,RETRY_COUNT,RUN_ID,RESOURCE_ID,EVENT_TIME,INGESTED_AT,ERROR_TYPE,AI_DIAGNOSIS,AI_PROPOSED_FIX,AI_CONFIDENCE,AI_FIX_PATCH,FIELD_CHANGES,HISTORY_ENTRIES,PROPERTIES_JSON,ARTIFACT_JSON,ERROR_DETAILS_JSON,MESSAGE_GUID,IFLOW_ID,SENDER,RECEIVER,ROOT_CAUSE,PROPOSED_FIX,RCA_CONFIDENCE,AFFECTED_COMPONENT,FIX_SUMMARY,COMMENT,CORRELATION_ID,LOG_START,LOG_END,RESOLVED_AT,TAGS,INCIDENT_GROUP_KEY,OCCURRENCE_COUNT,LAST_SEEN,VERIFICATION_STATUS,SOURCE_TYPE,FIX_STEPS,FIX_PLAN_GENERATED_AT,LAST_FAILED_STAGE,IFLOW_SNAPSHOT_BEFORE,PENDING_SINCE,TICKET_ID,CONSECUTIVE_FAILURES,AUTO_ESCALATED,INTEGRATION_FLOW_NAME,ARTIFACT_ID,designtime_artifact_id,property_to_change,current_value,correct_value,rca_fixes_json,DESIGNTIME_ARTIFACT_ID,PROPERTY_TO_CHANGE,CURRENT_VALUE,CORRECT_VALUE,RCA_FIXES_JSON
08584234550378882107396986370CU04,4876617b-2198-4d34-8548-850ce504e7c8,ERROR-FLOW,InvalidTemplate,Unable to process template language expressions in action 'Compose' inputs at line '0' and column '0': 'The template language function 'div' expects its second parameter to be an integer or a decimal number. The provided value is of type 'Null'. Please see https://aka.ms/logicexpressions#div for usage details.'.,NULL_REFERENCE_ERROR,Fix Attempted,,,2026-05-07 16:58:00.002572,2026-05-07 16:58:00.002572,True,False,0,,,,2026-05-07 11:30:11.229000,,"The Compose action's div() expression evaluated a null/non-numeric denominator because the referenced dynamic output/variable wasn't produced or was empty, so the template engine rejected the expression (expression references must exist and be numeric).",Apply fix: attempted,0.95,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,0,,,,,,,,,,,,
08584234547645356614859235911CU01,4876617b-2198-4d34-8548-850ce504e7c8,DataType-FLOW,ActionFailed,An action failed. No dependent actions succeeded.,UNKNOWN_ERROR,Ticket Created,,,2026-05-07 16:58:00.002572,2026-05-07 16:58:00.002572,False,False,0,,,,2026-05-07 11:30:29.199000,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,0,,,,,,,,,,,,
08584234550401904899104568952CU23,4876617b-2198-4d34-8548-850ce504e7c8,gdrive-logic-app,ActionFailed,An action failed. No dependent actions succeeded.,UNKNOWN_ERROR,Ticket Created,,,2026-05-07 16:58:00.002572,2026-05-07 16:58:00.002572,False,False,0,,,,2026-05-07 11:30:08.471000,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,0,,,,,,,,,,,,
08584234606305983325890760277CU16,4876617b-2198-4d34-8548-850ce504e7c8,gdrive-logic-app,ActionFailed,An action failed. No dependent actions succeeded.,UNKNOWN_ERROR,Ticket Created,,,2026-05-07 16:58:00.002572,2026-05-07 16:58:00.002572,False,False,0,,,,2026-05-07 11:29:50.543000,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,0,,,,,,,,,,,,
08584234612578061184728805804CU20,4876617b-2198-4d34-8548-850ce504e7c8,gdrive-logic-app,ActionFailed,An action failed. No dependent actions succeeded.,UNKNOWN_ERROR,Ticket Created,,,2026-05-07 16:58:00.002572,2026-05-07 16:58:00.002572,False,False,0,,,,2026-05-07 11:28:00.315000,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,0,,,,,,,,,,,,
08584236497072928925924145474CU15,4876617b-2198-4d34-8548-850ce504e7c8,gdrive-logic-app,InvalidTemplate,Unable to process template language expressions for action 'Condition' at line '0' and column '0': 'The template language function 'endsWith' expects its first parameter to be of type string. The provided value is of type 'Null'. Please see https://aka.ms/logicexpressions#endswith for usage details.'.,NULL_REFERENCE_ERROR,Ticket Created,,,2026-05-07 12:07:20.349848,2026-05-07 12:07:20.349848,False,False,0,,,,2026-05-07 07:01:00.979000,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,0,,,,,,,,,,,,
08584236501711156048869504003CU21,4876617b-2198-4d34-8548-850ce504e7c8,gdrive-logic-app,ActionFailed,An action failed. No dependent actions succeeded.,UNKNOWN_ERROR,Ticket Created,,,2026-05-07 12:07:20.349848,2026-05-07 12:07:20.349848,False,False,0,,,,2026-05-07 07:01:00.979000,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,0,,,,,,,,,,,,
08584236500557939183387841102CU17,4876617b-2198-4d34-8548-850ce504e7c8,gdrive-logic-app,InvalidTemplate,Unable to process template language expressions for action 'Condition' at line '0' and column '0': 'The template language function 'endsWith' expects its first parameter to be of type string. The provided value is of type 'Null'. Please see https://aka.ms/logicexpressions#endswith for usage details.'.,NULL_REFERENCE_ERROR,Ticket Created,,,2026-05-07 12:07:20.349848,2026-05-07 12:07:20.349848,False,False,0,,,,2026-05-07 07:01:00.979000,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,0,,,,,,,,,,,,
08584236495811817500476447733CU20,4876617b-2198-4d34-8548-850ce504e7c8,ERROR-FLOW,ActionFailed,An action failed. No dependent actions succeeded.,UNKNOWN_ERROR,Fix Attempted,unknown,attempted,2026-05-07 12:07:20.349848,2026-05-07 12:07:20.349848,True,False,0,,,,2026-05-07 07:01:00.979000,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,0,,,,,,,,,,,,
08584236502279852535015566213CU31,4876617b-2198-4d34-8548-850ce504e7c8,gdrive-logic-app,ActionFailed,An action failed. No dependent actions succeeded.,UNKNOWN_ERROR,Ticket Created,,,2026-05-07 12:07:20.349848,2026-05-07 12:07:20.349848,False,False,0,,,,2026-05-07 07:01:00.979000,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,0,,,,,,,,,,,,
08584236502366603791491460247CU07,4876617b-2198-4d34-8548-850ce504e7c8,gdrive-logic-app,InvalidTemplate,Unable to process template language expressions for action 'Condition' at line '0' and column '0': 'The template language function 'endsWith' expects its first parameter to be of type string. The provided value is of type 'Null'. Please see https://aka.ms/logicexpressions#endswith for usage details.'.,NULL_REFERENCE_ERROR,Ticket Created,,,2026-05-07 12:07:20.349848,2026-05-07 12:07:20.349848,False,False,0,,,,2026-05-07 07:01:00.979000,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,0,,,,,,,,,,,,
08584236502104831834848414111CU23,4876617b-2198-4d34-8548-850ce504e7c8,gdrive-logic-app,InvalidTemplate,Unable to process template language expressions for action 'Condition' at line '0' and column '0': 'The template language function 'endsWith' expects its first parameter to be of type string. The provided value is of type 'Null'. Please see https://aka.ms/logicexpressions#endswith for usage details.'.,NULL_REFERENCE_ERROR,Ticket Created,,,2026-05-07 12:07:20.349848,2026-05-07 12:07:20.349848,False,False,0,,,,2026-05-07 07:01:00.979000,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,0,,,,,,,,,,,,
08584236501935901239082015661CU02,4876617b-2198-4d34-8548-850ce504e7c8,gdrive-logic-app,InvalidTemplate,Unable to process template language expressions for action 'Condition' at line '0' and column '0': 'The template language function 'endsWith' expects its first parameter to be of type string. The provided value is of type 'Null'. Please see https://aka.ms/logicexpressions#endswith for usage details.'.,NULL_REFERENCE_ERROR,Ticket Created,,,2026-05-07 12:07:20.349848,2026-05-07 12:07:20.349848,False,False,0,,,,2026-05-07 07:01:00.979000,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,0,,,,,,,,,,,,
08584236501066347510990390405CU07,4876617b-2198-4d34-8548-850ce504e7c8,gdrive-logic-app,InvalidTemplate,Unable to process template language expressions for action 'Condition' at line '0' and column '0': 'The template language function 'endsWith' expects its first parameter to be of type string. The provided value is of type 'Null'. Please see https://aka.ms/logicexpressions#endswith for usage details.'.,NULL_REFERENCE_ERROR,Ticket Created,,,2026-05-07 12:07:20.349848,2026-05-07 12:07:20.349848,False,False,0,,,,2026-05-07 07:01:00.979000,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,0,,,,,,,,,,,,
08584236501593714188341775438CU09,4876617b-2198-4d34-8548-850ce504e7c8,gdrive-logic-app,ActionFailed,An action failed. No dependent actions succeeded.,UNKNOWN_ERROR,Ticket Created,,,2026-05-07 12:07:20.349848,2026-05-07 12:07:20.349848,False,False,0,,,,2026-05-07 07:01:00.979000,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,0,,,,,,,,,,,,
